question_id,gold_methods,predicted_methods,hits,precision,recall,f1
Q1,"['m3gnet', 'gap', 'chgnet', 'ace', 'mace', 'equiformerv2', 'nequip']","['thegaussianapproximationpotential(gap)enablesatomisticsimulationswithclosetodftaccuracyatcomputationalcostsmanyordersofmagnitudelowerthanquantummechanicalmethods.', 'benchmarkingofinteratomicpotentials']",[],0.0,0.0,0
Q2,"['hamgnn', 'd4ft', 'deeph']","['scalableelectronic‑structurecalculationforlarge‑scalematerials', 'dftbasedmethodsarepracticallylimitedtosystemsofafewhundredatoms,makinggenerationof8,000atomamorphouscarbonstructuresimpossiblewithdftmdevenonstateoftheartsupercomputers.']",[],0.0,0.0,0
Q3,"['deephe3', 'xdeeph']","['dft+uwithvanderwaalsfunctionals', 'comparedwithempiricaltight‑bindingandcontinuummodels,deephoffershigheraccuracyandtransferabilityfortwistedvan‑der‑waalsmaterials,albeitwithslightlylowercomputationalefficiency.']",[],0.0,0.0,0
Q4,"['hessiantraining', 'vgnn', 'macef']","['phononandvibrationalpropertyprediction', 'phononpropertyprediction', 'phononpropertiesprediction', 'elementwisephononenergyprediction']",[],0.0,0.0,0
Q5,"['gnn+gpp', 'beadmapping']","['preservingcrystallinesymmetriesautomatically', 'highfidelitymoleculardynamicssimulationsoverlongtimescales']",[],0.0,0.0,0
Q6,"['liflow', 'mlipdescriptors', 'deepmd+al']","['ionicconductivityprediction', 'acceleratedvalidationofionicconductivitypredictions']",[],0.0,0.0,0
Q7,"['symbolicregression', 'gnnfreeenergies']","['screeningofapproximately50\u202f000inorganiccrystalswiththemachine‑learningmodelidentifiedover2\u202f000temperature‑inducedsolid‑solidpolymorphictransitionsbetween300\u202fkand600\u202fk,including130stabletransitionswithinthetechnologicallyrelevant300\u202fk–350\u202fkinterval.', 'high‑throughputpredictionoftemperature‑inducedsolid‑solidphasetransitions', 'high‑throughputcomputationofinorganicmaterialproperties', 'machinelearningguideddiscoveryoftemperatureinducedsolidsolidphasetransitionsininorganicmaterials']",[],0.0,0.0,0
Q8,"['convlstm', 'gnnstressfields']","['amodeltrainedexclusivelyonsingle‑crystaldatageneralizestobicrystalandgradient‑orientationcrystals,reproducingmdfracturepatternsforsmallorientationdifferences,capturingoverallcrackpathsforlargeorientationdifferences,andhandlingarbitrarygeometrygradients.', 'fracturepatternpredictionfrommdsimulations']",[],0.0,0.0,0
Q9,"['physicsinformed', 'e(3)equivariantgnns', 'nequip']","['scalebridgingacrossatomisticandcontinuumlevels', 'linear‑scalingviaatomicdecomposition']",[],0.0,0.0,0
Q10,"['schnet', 'gnns+acedescriptors']","['modelingcomplexatomicstructures', 'atomisticmodeling', 'atomicsimulationenvironment']",[],0.0,0.0,0
Q11,"['hybridframeworks', 'ce→mc→nn→pf']","['featurestandardization', 'multiscalemodelconfigurations', 'featurecorrelationhandling']",[],0.0,0.0,0
Q12,"['m3gnet', 'pet', 'gap', 'esen', 'chgnet', 'uma', 'equiformerv2', 'sevennet', 'deepmd', 'orb', 'mace', 'mattersim', 'nequip']","['accuratedata‑driveninteratomicpotentials', 'largescaleatomisticsimulation']",[],0.0,0.0,0
Q13,"['m3gnet', 'chgnet', 'schnet', 'megnet', 'cgcnn', 'mace', 'equiformerv2', 'nequip']","['thegnnrespectsphysicalconstraints,accuratelycapturingderivativepropertiessuchasstressfieldsthatobeyunderlyingphysicallaws,andpredictsglobalproperties(young’smodulus,totalpotentialenergy)thatfollowknownphysicalrelationshipsandmatchmdresultsacrossdifferentcrystallinesystems.', 'crystalstructures,data,andsoftwareforanalyzingstablecrystals,phasediagrams,staticgnn,andinteratomicpotentialswillbemadeavailableatthegoogledeepmindmaterialsdiscoverygithubrepositoryandviathematerialsprojectwithpermanentdoilink10.17188/2009989.']",[],0.0,0.0,0
Q14,"['alexandria', 'aflow', 'materialsproject', 'matbench', 'mptrj', 'jarvisdft', 'omat24', 'wbm', 'gnome', 'oqmd', 'matbenchdiscovery']","['benchmarkingmaterialspropertypredictionmethods:thematbenchtestsetandautomatminerreferencealgorithm', 'materialspropertypredictionbenchmarking']",[],0.0,0.0,0
Q15,[],"['comprehensivereviewofaidrivenmultiscalemodelingapproachesforsolid‑statephysicsandchemistry', 'artificialintelligencehastransformedmultiscalemodelingbylinkingatomic,mesoscale,andcontinuumscales,deliveringimprovedaccuracyandreducedcomputationalcostcomparedwithtraditionalmethods.', 'large‑scalematerialmodeling', 'artificialintelligenceformultiscalemodelinginsolidstatephysicsandchemistry:acomprehensivereview']",[],0.0,0.0,0
Q16,[],"['incorporatinge(3)‑equivarianceintothegnnarchitectureprovidesasignificantperformanceboostoverstandardmultilayerperceptronsforphase‑spaceintegrationtasks.', 'e(3)equivariantgnnarchitecture', 'computationalefficiencyforgnnpotentials']",[],0.0,0.0,0
Q17,[],"['condensedphasemoleculardynamicssimulations', 'moleculardynamicssimulationofionicdiffusion']",[],0.0,0.0,0
Q18,[],"['developmentoftransferablemachine‑learninginteratomicpotentialswithbroaderconfigurationalcoverage', 'pushingthelimitsofunconstrainedmachinelearnedinteratomicpotentials', 'unconstrainedmachinelearnedinteratomicpotentials(mlips)trainedonlargedatasetsachieveaccuraciesonparwithstateoftheartequivariantarchitectureswhilemaintainingordersofmagnitudelowercomputationalcostthanquantummechanicalmethods.']",[],0.0,0.0,0
