question_id,gold_methods,predicted_methods,hits,precision,recall,f1
Q1,"['m3gnet', 'gap', 'chgnet', 'ace', 'mace', 'equiformerv2', 'nequip']","['universalmachinelearninginteratomicpotentials', 'machinelearninginteratomicpotentials', 'machinelearnedinteratomicpotentials', 'universalinteratomicpotentials', 'transformerbasedinteratomicpotentials']",[],0.0,0.0,0
Q2,"['hamgnn', 'd4ft', 'deeph']","['virtualcrystalapproximation', 'universalmodelsforatoms', 'modifiedembeddedatommethod', 'large‑scaleatomic/molecularmassivelyparallelsimulator', 'embeddedatommethod']",[],0.0,0.0,0
Q3,"['deephe3', 'xdeeph']","['deeplearningdfthamiltonian', 'vanderwaalsdensityfunctional', 'finiteelementdft', 'deepneuralnetworkapproachtorepresentdfthamiltonian', 'graphneuralnetworkfordfthamiltonian']",[],0.0,0.0,0
Q4,"['hessiantraining', 'vgnn', 'macef']","['frozenphononmethod', 'linearresponsephononmethod', 'phonax(e(3)equivariantgraphneuralnetworkframeworkforphononandhessianprediction)', 'frozen‑phononmethod', 'machine‑learningstabilitypredictionforcrystalstructures']",[],0.0,0.0,0
Q5,"['gnn+gpp', 'beadmapping']","['diffusivemoleculardynamics', 'non‑equilibriummoleculardynamics', 'moleculardynamics', 'nonequilibriummoleculardynamics', 'firstprinciplesmoleculardynamics']",[],0.0,0.0,0
Q6,"['liflow', 'mlipdescriptors', 'deepmd+al']","['preferredpotential', 'openquantummaterialsdatabase', 'deeppotentialmd', 'abinitiomoleculardynamics', 'inorganiccrystalstructuresdatabase']",[],0.0,0.0,0
Q7,"['symbolicregression', 'gnnfreeenergies']","['openquantummaterialsdatabase', 'comprehensivereviewofaidrivenmultiscalemodelingapproachesforsolid‑statephysicsandchemistry', 'inorganiccrystalstructuresdatabase', 'aflowhighthroughputmaterialsdiscoveryframework', 'machine‑learningstabilitypredictionforcrystalstructures']",[],0.0,0.0,0
Q8,"['convlstm', 'gnnstressfields']","['openquantummaterialsdatabase', 'graphneuralnetworkforatomicpropertypredictionindefectivecrystallinesolids', 'inorganiccrystalstructuresdatabase', 'convlstmbasedfracturepredictionmodel', 'machine‑learningstabilitypredictionforcrystalstructures']",[],0.0,0.0,0
Q9,"['physicsinformed', 'e(3)equivariantgnns', 'nequip']","['concurrentmultiscalemodeling', 'comprehensivereviewofaidrivenmultiscalemodelingapproachesforsolid‑statephysicsandchemistry', 'non‑equilibriummoleculardynamics', 'nonequilibriummoleculardynamics', 'selfconsistentfield']",[],0.0,0.0,0
Q10,"['schnet', 'gnns+acedescriptors']","['universalmodelsforatoms', 'atomsets', 'atomsinmoleculesnetwork2', 'atomicclusterexpansion', 'atomicsimulationenvironment']",[],0.0,0.0,0
Q11,"['hybridframeworks', 'ce→mc→nn→pf']","['chinchillascaling', 'concurrentmultiscalemodeling', 'principalneighborhoodaggregation', 'mlmultiscalemodelingperspective', 'hierarchicalmultiscalemodeling']",[],0.0,0.0,0
Q12,"['m3gnet', 'pet', 'gap', 'esen', 'chgnet', 'uma', 'equiformerv2', 'sevennet', 'deepmd', 'orb', 'mace', 'mattersim', 'nequip']","['universalmachinelearninginteratomicpotentials', 'machinelearninginteratomicpotentials', 'large‑scaleatomic/molecularmassivelyparallelsimulator', 'universalinteratomicpotentials', 'machinelearnedinteratomicpotentials']",[],0.0,0.0,0
Q13,"['m3gnet', 'chgnet', 'schnet', 'megnet', 'cgcnn', 'mace', 'equiformerv2', 'nequip']","['comprehensivereviewofaidrivenmultiscalemodelingapproachesforsolid‑statephysicsandchemistry', 'crystalgraphconvolutionalneuralnetwork', 'graphneuralnetworkforatomicpropertypredictionindefectivecrystallinesolids', 'machine‑learningstabilitypredictionforcrystalstructures', 'crystalgraphconvolutionalneuralnetworks']",[],0.0,0.0,0
Q14,"['alexandria', 'aflow', 'materialsproject', 'matbench', 'mptrj', 'jarvisdft', 'omat24', 'wbm', 'gnome', 'oqmd', 'matbenchdiscovery']","['materialsprojecttrajectorydataset', 'machine‑learningstabilitypredictionforcrystalstructures', 'aflowhighthroughputmaterialsdiscoveryframework', 'matbenchdiscoverybenchmark', 'unconstrainedmlipevaluationframework']",[],0.0,0.0,0
Q15,[],"['concurrentmultiscalemodeling', 'comprehensivereviewofaidrivenmultiscalemodelingapproachesforsolid‑statephysicsandchemistry', 'large‑scaleatomic/molecularmassivelyparallelsimulator', 'jarvisintegratedmaterialsdesigninfrastructure', 'materialsprojecthigh‑throughputcomputationalworkflowandopendataplatform']",[],0.0,0.0,0
Q16,[],"['scalableequivarianceenabledneuralnetwork', 'equivariantinteratomicpotentials', 'neuralequivariantinteratomicpotentials', 'e(3)equivariantatomcenteredinteratomicpotentials', 'machinelearnedinteratomicpotentials']",[],0.0,0.0,0
Q17,[],"['diffusivemoleculardynamics', 'non‑equilibriummoleculardynamics', 'moleculardynamics', 'nonequilibriummoleculardynamics', 'firstprinciplesmoleculardynamics']",[],0.0,0.0,0
Q18,[],"['universalmachinelearninginteratomicpotentials', 'neuralequivariantinteratomicpotentials', 'machinelearninginteratomicpotentials', 'graphneuralnetworkinteratomicpotentials', 'machinelearnedinteratomicpotentials']",[],0.0,0.0,0
