question_id,gold_methods,predicted_methods,hits,precision,recall,f1
Q1,"['EquiformerV2', 'GAP', 'M3GNet', 'MACE', 'NequIP', 'CHGNet', 'ACE']","['Machine-learned interatomic potentials', 'Universal machine learning interatomic potentials', 'universal machine learning interatomic potentials', 'Machine Learning Interatomic Potentials', 'Machine-learning interpolation of DFT potential-energy surface']",[],0.0,0.0,0.0
Q2,"['D4FT', 'DeepH', 'HamGNN']","['AI-accelerated electronic structure prediction', 'High‑throughput DFT calculations', 'Comprehensive review of AI-driven multiscale modeling approaches for solid‑state physics and chemistry', 'Large‑scale Atomic/Molecular Massively Parallel Simulator', 'Large-scale atomistic simulation']",[],0.0,0.0,0.0
Q3,"['DeepH', 'xDeepH']","['deep-learning DFT Hamiltonian', 'Machine-learned interatomic potentials', 'High-throughput DFT calculations', 'Universal machine learning interatomic potentials', 'DFT+U with van der Waals functionals']",[],0.0,0.0,0.0
Q4,"['VGNN', 'MACE-F', 'Hessian training']","['AI-accelerated electronic structure prediction', 'Direct phonon band prediction', 'MDR phonon benchmark', 'Phonon and elastic property predictor', 'frozen phonon database']",[],0.0,0.0,0.0
Q5,"['Bead-mapping', 'GNN+GPP']","['Comprehensive review of AI-driven multiscale modeling approaches for solid‑state physics and chemistry', 'Classical molecular dynamics simulations', 'short‑time NVT molecular dynamics', 'ab initio molecular dynamics', 'First-principles molecular dynamics']",[],0.0,0.0,0.0
Q6,"['DeePMD+AL', 'LiFlow', 'MLIP descriptors']","['Ionic conductivity pipeline', 'Environment-dependent electronegativity prediction', 'Hand-picked bond-ionicity features', 'bond ionicity features', 'Conductivity extrapolation module']",[],0.0,0.0,0.0
Q7,"['symbolic regression', 'GNN free energies']","['AFLOW high-throughput materials discovery framework', 'Comprehensive review of AI-driven multiscale modeling approaches for solid‑state physics and chemistry', 'Inorganic Crystal Structures Database', 'Machine‑learning stability prediction for crystal structures', 'Chemical space generalization benchmarking']",[],0.0,0.0,0.0
Q8,"['GNN stress fields', 'ConvLSTM']","['ConvLSTM-based fracture prediction model', 'Fracture‑toughness regression head', 'Machine‑learning stability prediction for crystal structures', 'Task‑driven taxonomy of foundation models for materials science', 'Graph Neural Network for atomic property prediction in defective crystalline solids']",[],0.0,0.0,0.0
Q9,"['physics-informed', 'E(3)-equivariant GNNs', 'NequIP']","['Atomic energy normalization', 'Empirical scaling laws', 'Energy referencing scheme', 'first-principles calculations', 'Linear‑scaling via atomic decomposition']",[],0.0,0.0,0.0
Q10,"['GNNs + ACE descriptors', 'SchNet']","['Universal Models for Atoms', 'Machine-learned interatomic potentials', 'Large-scale atomistic simulation', 'Graph representation of atomic structures', 'Atomic Simulation Environment']",[],0.0,0.0,0.0
Q11,"['CE→MC→NN→PF', 'hybrid frameworks']","['Degree‑scaled aggregation', 'Principal Component Analysis', 'Hierarchical multiscale modeling', 'Feature standardization', 'Feature‑importance analysis']",[],0.0,0.0,0.0
Q12,"['PET', 'EquiformerV2', 'M3GNet', 'MACE', 'NequIP', 'GAP', 'CHGNet', 'DeePMD', 'UMA', 'eSEN', 'SevenNet', 'MatterSim', 'Orb']","['Machine-learned interatomic potentials', 'Large-scale atomistic simulation', 'Universal machine learning interatomic potentials', 'universal machine learning interatomic potentials', 'Machine Learning Interatomic Potentials']",[],0.0,0.0,0.0
Q13,"['SchNet', 'EquiformerV2', 'M3GNet', 'NequIP', 'CGCNN', 'MACE', 'CHGNet', 'MEGNet']","['AI-accelerated electronic structure prediction', 'Comprehensive review of AI-driven multiscale modeling approaches for solid‑state physics and chemistry', 'Open Molecular Crystals 2025', 'Machine‑learning stability prediction for crystal structures', 'Graph Neural Network for atomic property prediction in defective crystalline solids']",[],0.0,0.0,0.0
Q14,"['Matbench', 'JARVIS-DFT', 'GNoME', 'Matbench Discovery', 'OQMD', 'WBM', 'Alexandria', 'MPtrj', 'Materials Project', 'AFLOW', 'OMat24']","['Top 1000 oxide materials', 'AFLOW high-throughput materials discovery framework', 'Top 1000 materials', 'Top 1000 materials (any chemistry)', 'Materials Project formation energy']",[],0.0,0.0,0.0
Q15,[],"['AI-accelerated electronic structure prediction', 'Comprehensive review of AI-driven multiscale modeling approaches for solid‑state physics and chemistry', 'Large-scale atomistic simulation', 'Machine‑learning stability prediction for crystal structures', 'Task‑driven taxonomy of foundation models for materials science']",[],0.0,0.0,0.0
Q16,[],"['Neural Equivariant Interatomic Potentials', 'Machine-learned interatomic potentials', 'Universal machine learning interatomic potentials', 'universal machine learning interatomic potentials', 'GNN interatomic potentials']",[],0.0,0.0,0.0
Q17,[],"['Comprehensive review of AI-driven multiscale modeling approaches for solid‑state physics and chemistry', 'DeePMD', 'deep potential molecular dynamics', 'ML‑driven molecular dynamics', 'Classical molecular dynamics simulations']",[],0.0,0.0,0.0
Q18,[],"['Machine-learned interatomic potentials', 'Universal machine learning interatomic potentials', 'universal machine learning interatomic potentials', 'Machine Learning Interatomic Potentials', 'Graph Neural Network interatomic potentials']",[],0.0,0.0,0.0
